iter,best_f,elapsed_ms
1,0.02986158879668649,0.0087
10,0.00016634127085679573,0.266
20,4.938555536182498E-07,0.3298
30,3.837349715762883E-08,0.3879
40,3.789663027831125E-11,0.4473
50,2.463695913945685E-12,0.5203
60,2.3148150063434514E-14,0.578
70,2.3148150063434514E-14,0.6374
80,9.43689570931383E-16,0.6977
90,5.551115123125783E-17,0.7573
100,0,0.8175
110,0,0.8814
120,0,0.9385
130,0,1.001
140,0,1.06
150,0,1.1231
160,0,1.1826
170,0,1.2403
180,0,1.2989
190,0,1.3589
200,0,1.4151
210,0,1.4723
220,0,1.5355
230,0,1.5883
240,0,1.6422
250,0,1.6991
260,0,1.752
270,0,1.8092
280,0,1.8636
290,0,1.9164
300,0,1.9709
310,0,2.0244
320,0,2.0775
330,0,2.1316
340,0,2.1829
350,0,2.2362
360,0,2.2879
370,0,2.338
380,0,2.3913
390,0,2.4434
400,0,2.4934
410,0,2.5465
420,0,2.5991
430,0,2.6503
440,0,2.7046
450,0,2.7569
460,0,2.8072
470,0,2.8602
480,0,2.9121
490,0,2.9643
500,0,3.0185
510,0,3.0743
520,0,3.1257
530,0,3.1809
540,0,3.2307
550,0,3.2842
560,0,3.3375
570,0,3.3888
580,0,3.4426
590,0,3.5001
600,0,3.5516
610,0,3.6039
620,0,3.6573
630,0,3.7085
640,0,3.7628
650,0,3.8172
660,0,3.8769
670,0,3.9279
680,0,3.9807
690,0,4.034
700,0,4.085
710,0,4.1382
720,0,4.1898
730,0,4.2409
740,0,4.2952
750,0,4.3496
760,0,4.4008
770,0,4.4537
780,0,4.5053
790,0,4.5588
800,0,4.6123
810,0,4.6635
820,0,4.7167
830,0,4.7691
840,0,4.8202
850,0,4.873
860,0,4.9263
870,0,4.9774
880,0,5.0314
890,0,5.0833
900,0,5.1334
910,0,5.2103
920,0,5.2679
930,0,5.3194
940,0,5.3733
950,0,5.427
960,0,5.4785
970,0,5.5309
980,0,5.5852
990,0,5.637
1000,0,5.6938
1010,0,5.746
1020,0,5.8
1030,0,5.8545
1040,0,5.9069
1050,0,5.9615
1060,0,6.0146
1070,0,6.0659
1080,0,6.1206
1090,0,6.1733
1100,0,6.225
1110,0,6.2783
1120,0,6.3321
1130,0,6.3839
1140,0,6.4368
1150,0,6.4895
1160,0,6.5402
1170,0,6.5926
1180,0,6.6456
1190,0,6.6964
1200,0,6.75
1210,0,6.8013
1220,0,6.8539
1230,0,6.9083
1240,0,6.9592
1250,0,7.0127
1260,0,7.0662
1270,0,7.1177
1280,0,7.1811
1290,0,7.2378
1300,0,7.2907
1310,0,7.3432
1320,0,7.396
1330,0,7.4544
1340,0,7.5145
1350,0,7.5775
1360,0,7.6334
1370,0,7.6867
1380,0,7.741
1390,0,7.7926
1400,0,7.8459
1410,0,7.8996
1420,0,7.9516
1430,0,8.0054
1440,0,8.0567
1450,0,8.1107
1460,0,8.1653
1470,0,8.2164
1480,0,8.2697
1490,0,8.3236
1500,0,8.3756
1510,0,8.4293
1520,0,8.4824
1530,0,8.5349
1540,0,8.5903
1550,0,8.6429
1560,0,8.6938
1570,0,8.7497
1580,0,8.8019
1590,0,8.8539
1600,0,8.9076
1610,0,8.9606
1620,0,9.0116
1630,0,9.0648
1640,0,9.1186
1650,0,9.1697
1660,0,9.2219
1670,0,9.2752
1680,0,9.3289
1690,0,9.3819
1700,0,9.4319
1710,0,9.4851
1720,0,9.5376
1730,0,9.5878
1740,0,9.6425
1750,0,9.6948
1760,0,9.7449
1770,0,9.7979
1780,0,9.8512
1790,0,9.9021
1800,0,9.9554
1810,0,10.0079
1820,0,10.0594
1830,0,10.1108
1840,0,10.1657
1850,0,10.2173
1860,0,10.2714
1870,0,10.3258
1880,0,10.3778
1890,0,10.43
1900,0,10.4802
1910,0,10.5324
1920,0,10.5876
1930,0,10.6379
1940,0,10.6895
1950,0,10.7408
1960,0,10.791
1970,0,10.8438
1980,0,10.8973
1990,0,10.9487
2000,0,11.0021
