iter,best_f,elapsed_ms
1,0.011107189189074551,0.161
10,7.829300581174703E-05,0.2776
20,3.5541852507203764E-06,0.328
30,2.374528987325597E-07,0.3785
40,1.5363903205223295E-08,0.428
50,5.604207320430987E-09,0.4777
60,2.0662277444571941E-10,0.5273
70,4.7226444976899984E-11,0.5774
80,9.613976281741543E-13,0.6285
90,9.613976281741543E-13,0.6805
100,5.667688540711424E-14,0.7327
110,4.829470157119431E-15,0.7844
120,2.7755575615628914E-16,0.8351
130,5.551115123125783E-17,0.8864
140,0,0.9371
150,0,0.9878
160,0,1.0389
170,0,1.0893
180,0,1.1382
190,0,1.1869
200,0,1.2346
210,0,1.2871
220,0,1.3408
230,0,1.3875
240,0,1.4339
250,0,1.4794
260,0,1.524
270,0,1.5682
280,0,1.6125
290,0,1.6563
300,0,1.7049
310,0,1.7556
320,0,1.8062
330,0,1.8575
340,0,1.9012
350,0,1.951
360,0,1.9961
370,0,2.0408
380,0,2.0858
390,0,2.1303
400,0,2.1751
410,0,2.2193
420,0,2.2632
430,0,2.3068
440,0,2.3508
450,0,2.3946
460,0,2.4381
470,0,2.4815
480,0,2.5253
490,0,2.5713
500,0,2.6152
510,0,2.6585
520,0,2.702
530,0,2.7456
540,0,2.7888
550,0,2.8317
560,0,2.875
570,0,2.9193
580,0,2.9633
590,0,3.0124
600,0,3.0561
610,0,3.0994
620,0,3.1428
630,0,3.1877
640,0,3.2322
650,0,3.2764
660,0,3.3241
670,0,3.3698
680,0,3.415
690,0,3.4601
700,0,3.505
710,0,3.5513
720,0,3.5955
730,0,3.6398
740,0,3.6839
750,0,3.7277
760,0,3.7717
770,0,3.8159
780,0,3.8602
790,0,3.9044
800,0,3.9486
810,0,3.9925
820,0,4.0364
830,0,4.0804
840,0,4.1245
850,0,4.1711
860,0,4.2159
870,0,4.2601
880,0,4.3045
890,0,4.349
900,0,4.3932
910,0,4.4373
920,0,4.481
930,0,4.5247
940,0,4.5685
950,0,4.6128
960,0,4.657
970,0,4.7011
980,0,4.7452
990,0,4.7918
1000,0,4.8363
1010,0,4.8804
1020,0,4.9244
1030,0,4.9683
1040,0,5.0119
1050,0,5.0556
1060,0,5.0992
1070,0,5.1426
1080,0,5.1859
1090,0,5.2292
1100,0,5.2731
1110,0,5.3197
1120,0,5.3661
1130,0,5.4099
1140,0,5.4538
1150,0,5.4982
1160,0,5.5423
1170,0,5.5862
1180,0,5.6305
1190,0,5.6747
1200,0,5.7186
1210,0,5.7624
1220,0,5.8059
1230,0,5.8496
1240,0,5.8935
1250,0,5.9403
1260,0,5.986
1270,0,6.0314
1280,0,6.0764
1290,0,6.1207
1300,0,6.165
1310,0,6.2092
1320,0,6.2532
1330,0,6.2967
1340,0,6.3407
1350,0,6.3852
1360,0,6.4292
1370,0,6.4732
1380,0,6.5171
1390,0,6.5659
1400,0,6.6108
1410,0,6.6556
1420,0,6.7003
1430,0,6.7451
1440,0,6.7897
1450,0,6.8344
1460,0,6.8791
1470,0,6.9238
1480,0,6.9686
1490,0,7.0132
1500,0,7.0593
1510,0,7.1038
1520,0,7.148
1530,0,7.194
1540,0,7.2382
1550,0,7.2824
1560,0,7.3261
1570,0,7.3701
1580,0,7.414
1590,0,7.4575
1600,0,7.5014
1610,0,7.5455
1620,0,7.5896
1630,0,7.6333
1640,0,7.6773
1650,0,7.7214
1660,0,7.7655
1670,0,7.8119
1680,0,7.8559
1690,0,7.8999
1700,0,7.9438
1710,0,7.9875
1720,0,8.031
1730,0,8.0744
1740,0,8.1183
1750,0,8.1619
1760,0,8.2056
1770,0,8.2495
1780,0,8.2933
1790,0,8.3372
1800,0,8.3829
1810,0,8.427
1820,0,8.4712
1830,0,8.515
1840,0,8.5587
1850,0,8.6022
1860,0,8.646
1870,0,8.6895
1880,0,8.7329
1890,0,8.7762
1900,0,8.8218
1910,0,8.8662
1920,0,8.9101
1930,0,8.954
1940,0,9.0001
1950,0,9.0437
1960,0,9.0866
1970,0,9.1298
1980,0,9.173
1990,0,9.2166
2000,0,9.2601
