iter,best_f,elapsed_ms
1,5.432271767447861,0.425
10,0.8808898549440514,7.6269
20,0.3707926056955818,8.1776
30,0.18669307891345116,8.717
40,0.10055358117145526,9.2364
50,0.04468849222219578,9.75
60,0.022478306097138332,10.2642
70,0.010675039640344866,10.788
80,0.006104114154154947,11.3131
90,0.003500598865492111,11.8352
100,0.0017290475549413431,12.3597
110,0.0009200099630317453,12.8808
120,0.0007258612155951497,13.4029
130,0.0005146096777220841,13.9256
140,0.00042204872012396264,14.4499
150,0.00027455016538728224,14.9761
160,7.698879450710308E-05,15.4966
170,5.9385386517055105E-05,16.3055
180,3.7196221916716775E-05,16.8335
190,2.1135183353481906E-05,17.354
200,1.1654427777749927E-05,17.8733
210,7.536001692604191E-06,18.3941
220,4.591460388626603E-06,18.9122
230,2.14439360957095E-06,19.4258
240,1.062946892095329E-06,19.9402
250,6.876102553314489E-07,20.4606
260,3.4222102621540844E-07,20.9852
270,1.8920409994416824E-07,21.5118
280,1.2569863460780725E-07,22.0342
290,1.0497395976832161E-07,22.5706
300,7.761609640845771E-08,23.0961
310,6.077615433744066E-08,23.6249
320,3.7825790412178696E-08,24.1598
330,2.4802633492844852E-08,24.6888
340,1.3649106000770674E-08,25.2198
350,4.752800403258943E-09,25.7493
360,3.2415152480088926E-09,26.2788
370,2.2894553284986008E-09,26.8069
380,1.4621681322580867E-09,27.3367
390,1.0324063825957992E-09,27.8687
400,8.098048557099125E-10,28.3921
410,4.172064795245335E-10,28.9152
420,2.669067130062593E-10,29.4299
430,1.3253581713356387E-10,29.9444
440,7.509354219937856E-11,30.4616
450,4.784540657156605E-11,30.9781
460,2.6285997289866146E-11,31.5126
470,1.56326454335348E-11,32.0398
480,6.284410501037423E-12,32.5684
490,3.272400591803725E-12,33.1977
500,2.2810711761086825E-12,33.7236
510,1.158352087279826E-12,34.2533
520,5.330024021104216E-13,34.8491
530,2.1878695268506025E-13,35.3761
540,1.1345168682987074E-13,35.8919
550,7.394061606260369E-14,36.4199
560,5.604939391104029E-14,36.9585
570,3.240146098108037E-14,37.4839
580,1.638397378050642E-14,38.0117
590,1.4153931620268114E-14,38.5434
600,8.440717154553075E-15,39.3322
610,4.4311067743128975E-15,40.1072
620,2.6784731041743046E-15,40.6387
630,1.0840739002182097E-15,41.1646
640,7.066469409258458E-16,41.6898
650,4.2761690644716656E-16,42.2182
660,2.722248312326384E-16,42.7492
670,1.5523544883310299E-16,43.266
680,9.782244717377176E-17,43.7916
690,6.046628241138463E-17,44.3159
700,3.14261804308758E-17,44.8403
710,1.7023524861634226E-17,45.3555
720,1.3957644867391075E-17,45.8784
